date_time,lon360,latitude,depth_km,magnitude
2023-04-08T08:52:13.330Z,185.8356667,52.38716667,3.12,2.23
2023-04-19T12:19:00.290Z,181.9571667,51.835,1.8,2.09
2023-04-10T17:26:20.380Z,181.938,51.86266667,1.8,2.2
2023-03-28T08:30:20.590Z,181.9513333,51.8555,1.8,2.1
2023-03-28T05:47:33.380Z,181.9518333,51.855,1.8,2.01
2023-04-20T13:18:46.030Z,181.9568333,51.83666667,1.53,2.38
2024-12-10T05:34:15.518Z,183.0358,50.9831,-0.1,2.2
2024-03-27T12:53:57.347Z,185.6105,51.2732,-0.1,2.1
2023-12-11T05:35:56.903Z,183.5195,51.132,-0.2,2.1
2023-07-16T05:26:04.172Z,181.8009,50.2863,-0.3,2.2
2023-06-30T04:58:34.586Z,183.2364,50.216,-0.4,2.2
2025-03-29T08:58:31.707Z,186.8989,51.3654,-0.5,2.1
2023-08-19T08:55:44.187Z,182.1498,50.2953,-0.5,2.1
2024-06-28T13:30:55.249Z,183.006,50.198,-0.6,2.2
2023-08-18T14:57:44.535Z,186.6168,50.7462,-0.7,2
2025-03-04T02:48:36.240Z,183.348,51.87416667,-0.79,2.01
2023-04-08T08:51:30.970Z,185.8455,52.384,-0.84,2.64
2023-06-28T04:20:17.348Z,182.0238,51.8191,-1.063,2.6
2025-02-27T09:23:44.506Z,186.7869,50.8758,-1.1,2.4
2023-03-28T05:56:52.741Z,181.9505,51.8452,-1.396,2.6
2025-07-29T11:30:30.358Z,182.6512,51.3218,-1.4,2.6
2025-03-03T15:03:16.036Z,185.8716,51.0443,-1.4,2.3
2023-04-14T15:28:40.490Z,181.931,51.85466667,-1.44,2.02
2024-08-05T06:55:20.527Z,186.219,51.2264,-1.5,2.1
2023-04-17T05:37:39.867Z,181.9585,51.8559,-1.763,2.4
2024-08-20T07:21:27.793Z,186.7697,52.2673,-1.8,2.3
2023-08-22T12:26:25.484Z,186.157,51.9163,-1.831,2.8
2024-10-15T19:02:13.661Z,186.3887,51.4663,-1.855,2.9
2025-04-11T17:12:08.280Z,185.8898,51.7431,-1.9,2.1
2025-06-24T16:33:19.930Z,181.4389,51.4442,-2,2.1
2025-05-23T09:30:43.906Z,185.5688,51.3466,-2,2.3
2023-06-13T12:48:08.098Z,186.0452,50.6242,-2,2.1
2023-04-21T00:15:18.530Z,181.9355,51.851,-2.02,2.19
2025-06-12T10:40:14.436Z,186.1167,51.8119,-2.1,2
2024-04-08T16:29:21.515Z,185.2672,51.1649,-2.1,2.2
2023-04-17T03:05:53.502Z,181.9436,51.814,-2.123,2.7
2024-01-01T17:06:57.741Z,186.5648,52.2462,-2.3,2.1
2024-10-16T11:10:20.761Z,186.3946,51.9485,-2.332,3.7
2023-03-28T05:56:05.047Z,181.9729,51.8572,-2.368,2.5
2025-01-17T15:09:11.717Z,186.7139,52.4198,-2.4,2.3
2025-01-12T11:49:19.554Z,186.6101,52.3076,-2.4,2.4
2023-11-13T12:29:33.430Z,185.9128333,52.58116667,-2.49,2.66
2024-07-12T00:38:33.726Z,186.1591,52.0535,-2.6,2
2023-04-01T08:20:19.100Z,181.935,51.85166667,-2.64,2.33
2023-09-26T15:50:44.385Z,185.8491,51.21,-2.7,2
