date_time,lon360,latitude,depth_km,magnitude
2006-05-30T21:15:19.070Z,237.168,46.6911667,1.75,2.4
2006-06-15T20:49:18.230Z,237.2356667,46.6878333,1.524,2.2
2005-04-11T21:22:29.560Z,237.1875,46.697,1.328,2.2
2006-01-23T22:14:32.620Z,237.1975,46.7431667,1.321,2.2
2005-04-19T19:55:17.770Z,237.1965,46.7183333,1.314,2
2006-11-21T22:19:08.470Z,237.2493333,46.7723333,1.258,2
2007-08-15T17:04:27.970Z,237.5028333,46.2435,1.242,2.1
2006-07-21T21:39:58.910Z,237.2425,46.6965,1.225,2.3
2005-11-14T21:10:30.690Z,237.2415,46.7013333,1.225,2.5
2003-05-12T20:04:58.530Z,237.2355,46.708,1.195,2.6
2006-06-02T21:47:35.110Z,237.1558333,46.7023333,1.183,2.4
2004-07-12T21:46:47.220Z,237.2136667,46.7133333,1.177,2.1
2003-10-11T21:13:24.050Z,237.2188333,46.7348333,1.154,2.4
2008-05-01T22:06:46.890Z,237.1345,46.3595,1.134,2.5
2005-08-26T19:56:52.430Z,237.2463333,46.6958333,1.108,2
2019-05-25T13:44:24.190Z,236.4545,47.67316667,1.08,2.71
2006-05-12T18:59:45.860Z,237.2596667,46.6998333,1.031,2.2
2003-03-28T21:36:06.090Z,237.2478333,46.7108333,1.017,3
2004-02-10T22:29:20.350Z,237.1695,46.7545,1.007,2.1
2006-04-28T22:04:52.100Z,237.2498333,46.6961667,1.002,2.4
2005-07-13T20:31:44.840Z,237.2438333,46.7021667,0.992,2.9
2003-10-22T20:00:25.850Z,237.2411667,46.7018333,0.987,2.4
2004-04-12T21:18:00.900Z,237.2058333,46.7411667,0.972,2.5
2003-12-13T22:46:16.150Z,237.2308333,46.7463333,0.959,2.2
2006-05-13T20:51:25.150Z,237.2215,46.7421667,0.95,2.4
2003-03-24T22:38:30.960Z,237.2293333,46.705,0.937,2.1
2003-07-02T18:17:48.120Z,237.1918333,46.7475,0.927,2.4
2004-09-23T21:06:15.290Z,237.2945,46.7048333,0.921,2.2
2005-02-22T22:38:50.450Z,237.2246667,46.7515,0.92,2.1
2005-02-24T23:15:13.240Z,237.2155,46.7426667,0.914,2.7
2006-04-08T21:14:02.370Z,237.2715,46.7078333,0.908,2.5
2006-01-20T22:36:20.700Z,237.1941667,46.7396667,0.906,2.4
2003-04-24T21:47:30.880Z,237.2263333,46.7053333,0.897,2.5
2020-11-11T01:12:18.910Z,236.9048333,46.63916667,0.89,2.07
2005-12-13T22:39:58.520Z,237.2445,46.694,0.89,2.4
2003-04-14T18:56:12.350Z,237.233,46.7035,0.89,2.4
2008-07-01T00:19:45.300Z,237.1611667,46.3478333,0.889,2.41
2006-05-20T21:49:42.310Z,237.2403333,46.7163333,0.887,2.5
2006-04-12T21:01:54.890Z,237.2385,46.6978333,0.885,2.3
2004-06-30T21:47:07.260Z,237.2261667,46.75,0.877,2.2
2003-07-25T21:48:01.640Z,237.23,46.7443333,0.876,3
2005-06-01T21:41:07.690Z,237.2398333,46.7041667,0.875,2.3
2004-10-13T22:02:33.580Z,237.2076667,46.7426667,0.875,2.4
2006-03-06T22:33:01.320Z,237.2501667,46.6965,0.874,2.1
2006-04-25T21:42:48.550Z,237.2495,46.6841667,0.867,2.3
2006-05-06T21:15:54.040Z,237.2056667,46.7461667,0.865,2.5
2005-08-16T21:39:25.220Z,237.2106667,46.7501667,0.865,2.8
2004-03-12T22:46:46.310Z,237.2318333,46.704,0.86,2.2
2003-06-24T18:57:08.310Z,237.2351667,46.7031667,0.853,2.5
2006-11-20T21:58:47.470Z,237.237,46.7598333,0.851,2.4
2009-01-28T05:29:36.210Z,235.7506667,47.9153333,0.834,2.5
2003-10-04T22:09:32.980Z,237.2265,46.695,0.828,2.2
2006-06-08T21:15:26.840Z,237.2388333,46.7033333,0.821,2.4
2004-06-21T21:31:34.360Z,237.2215,46.7425,0.812,2.2
2006-05-18T18:36:15.390Z,237.2946667,46.6938333,0.811,2.1
2005-03-31T22:00:33.100Z,237.2095,46.7448333,0.806,2.7
2006-06-09T21:14:27.900Z,237.2426667,46.7111667,0.805,2.8
2006-07-27T21:37:00.290Z,237.285,46.7111667,0.803,2.4
2005-01-04T22:44:11.580Z,237.2485,46.6986667,0.802,2.2
2004-07-29T22:40:13.530Z,237.2103333,46.7325,0.802,2.5
2004-04-17T22:24:14.410Z,237.2328333,46.6993333,0.789,2.1
2003-07-01T21:21:54.070Z,237.23,46.7073333,0.789,2.7
2005-12-14T22:35:52.710Z,237.2435,46.693,0.788,2.2
2004-04-14T21:14:57.070Z,237.2176667,46.738,0.781,2.2
2019-08-27T18:04:10.290Z,237.717,47.05516667,0.78,2.14
2004-07-09T21:58:24.740Z,237.2021667,46.7485,0.779,2.7
2006-05-01T21:11:38.410Z,237.2406667,46.7238333,0.777,2
2004-07-22T21:41:51.120Z,237.2128333,46.7445,0.777,2.4
2003-05-06T21:02:45.030Z,237.2295,46.7048333,0.777,2.7
2003-10-17T21:46:34.900Z,237.2298333,46.708,0.769,2.3
2003-10-24T21:52:45.770Z,237.2238333,46.7335,0.763,2.4
2005-10-11T19:25:07.850Z,237.2103333,46.7496667,0.759,2.4
2003-02-03T21:58:12.990Z,237.2275,46.7041667,0.759,3.1
2004-04-13T21:17:40.800Z,237.2238333,46.7485,0.758,2.5
2004-06-01T21:55:46.120Z,237.2135,46.7455,0.755,2.2
2003-12-17T22:42:49.040Z,237.2271667,46.7481667,0.755,2.7
2006-06-23T20:43:23.290Z,237.2473333,46.6898333,0.753,2.3
2006-03-29T22:32:44.710Z,237.2428333,46.6966667,0.753,2.6
2004-10-21T21:35:08.300Z,237.2103333,46.7176667,0.753,2.3
2005-08-24T22:05:31.600Z,237.2416667,46.6921667,0.749,2.4
2005-04-01T22:00:13.590Z,237.1865,46.701,0.749,2
2004-08-03T21:41:03.150Z,237.2343333,46.7078333,0.749,2.4
2005-09-16T19:55:54.360Z,237.2106667,46.7421667,0.748,2.6
2004-07-16T21:59:17.830Z,237.1978333,46.7445,0.748,2.1
2006-06-27T22:01:40.320Z,237.2416667,46.7163333,0.747,2.1
2004-09-16T22:04:47.300Z,237.2218333,46.7443333,0.745,3.3
2006-06-30T21:35:37.290Z,237.2436667,46.7248333,0.744,2.4
2005-09-22T21:24:35.430Z,237.2391667,46.704,0.743,2.7
2004-02-16T22:58:20.700Z,237.2045,46.7501667,0.743,2.4
2003-09-23T22:00:33.520Z,237.214,46.7305,0.743,2.6
2004-05-25T22:24:07.770Z,237.2001667,46.7378333,0.742,2.6
2003-12-06T21:55:23.530Z,237.2415,46.7041667,0.739,2.1
2004-08-16T21:14:07.420Z,237.214,46.7465,0.735,3.1
2004-05-06T22:00:15.780Z,237.2236667,46.7436667,0.735,2.5
2006-09-22T21:07:20.490Z,237.2641667,46.7068333,0.734,2.4
2006-09-26T21:29:41.770Z,237.2096667,46.7375,0.733,2.9
2006-04-10T21:40:33.490Z,237.2473333,46.7066667,0.728,2.8
2004-05-20T23:31:44.880Z,237.237,46.71,0.725,2.5
2006-09-14T21:18:00.760Z,237.2348333,46.7561667,0.723,2.5
2006-05-11T17:28:19.040Z,237.2665,46.708,0.723,2.4
2004-11-23T22:41:30.560Z,237.2165,46.7466667,0.723,2.5
2006-05-17T22:05:42.710Z,237.2456667,46.6921667,0.718,2.4
2003-09-25T21:09:33.000Z,237.2373333,46.7028333,0.713,2
2003-08-12T22:00:57.930Z,237.2356667,46.7543333,0.713,2.8
2004-06-22T21:41:23.120Z,237.227,46.748,0.711,2.1
2004-02-02T22:10:43.930Z,237.1553333,46.7341667,0.71,2
2006-06-06T21:09:59.370Z,237.2421667,46.7211667,0.708,2.2
2004-02-11T22:19:53.730Z,237.1996667,46.7423333,0.707,2.2
2004-02-04T21:01:38.930Z,237.2341667,46.7065,0.703,2
2005-02-08T20:29:45.070Z,237.1951667,46.7023333,0.701,2.8
2004-07-26T07:22:19.830Z,236.1833333,47.1875,0.701,2.2
2006-06-07T22:13:09.830Z,237.245,46.7165,0.694,2.5
2004-06-26T21:52:18.400Z,237.221,46.742,0.693,2.1
2003-07-17T21:29:50.840Z,237.225,46.6903333,0.692,2.3
2019-04-10T09:59:48.250Z,236.3371667,47.52883333,0.69,2.1
2003-02-07T22:31:11.340Z,236.9833333,46.5843333,0.686,2.3
2006-11-25T21:57:12.670Z,237.217,46.7438333,0.684,2.3
2016-10-07T12:38:29.370Z,235.9661667,47.6385,0.68,2.05
2006-06-12T21:29:54.910Z,237.2598333,46.711,0.68,2.9
2004-06-24T21:05:28.890Z,237.225,46.7445,0.677,2.7
2004-08-27T20:08:26.120Z,237.2135,46.7453333,0.676,2.4
2004-12-20T22:32:16.990Z,237.2471667,46.7045,0.668,2
2006-04-27T21:59:52.820Z,237.215,46.7465,0.664,2.8
2003-09-29T18:48:30.070Z,237.219,46.7341667,0.659,2.1
2014-08-01T07:50:01.170Z,237.3041667,46.4408333,0.654,2.01
2005-01-03T21:59:08.980Z,237.2553333,46.6961667,0.652,2.4
2006-04-18T21:57:31.400Z,237.267,46.7056667,0.651,2.3
2005-04-22T21:47:57.670Z,237.1961667,46.7048333,0.64,2.3
2004-10-12T22:35:43.010Z,237.1286667,46.7365,0.64,2.5
2004-08-10T21:26:38.980Z,237.2163333,46.7416667,0.64,2.5
2004-04-15T21:21:37.650Z,237.2081667,46.7463333,0.64,2.5
2003-10-21T22:07:56.880Z,237.2193333,46.7455,0.64,2.7
2006-05-05T22:52:53.790Z,237.2425,46.7085,0.637,3
2005-12-06T22:40:12.710Z,237.2115,46.6618333,0.632,2.3
2005-03-21T21:26:25.120Z,237.2451667,46.6991667,0.628,2.6
2006-06-26T21:20:23.720Z,237.2416667,46.7271667,0.625,2.1
2006-03-16T21:06:15.090Z,237.2378333,46.6996667,0.625,2
2004-05-25T21:48:12.050Z,237.226,46.6943333,0.625,2.7
2006-03-30T22:30:17.180Z,237.2448333,46.7041667,0.624,2.3
2006-07-28T22:15:31.590Z,237.2416667,46.7068333,0.622,2.2
2005-09-08T21:33:24.210Z,237.215,46.7458333,0.62,3
2004-05-12T22:32:36.030Z,237.22,46.7448333,0.62,3.2
2012-05-24T22:34:03.530Z,236.4986667,48.0613333,0.619,2.8
2006-06-19T20:12:07.930Z,237.241,46.7148333,0.617,2.6
2004-03-09T22:36:57.180Z,237.2178333,46.7501667,0.61,2.6
2006-06-13T21:47:16.220Z,237.243,46.6935,0.606,3.2
2006-07-17T21:19:38.780Z,237.2561667,46.7171667,0.605,2.2
2004-06-12T15:12:09.220Z,236.1816667,47.2288333,0.602,2.6
2004-03-08T23:00:53.520Z,237.2298333,46.7475,0.6,2.4
2004-01-19T23:10:09.620Z,237.2225,46.7511667,0.6,3.1
2003-10-21T21:41:14.710Z,237.2346667,46.7021667,0.596,2.4
2005-04-26T19:43:39.620Z,237.2045,46.744,0.594,2.4
2003-06-17T21:21:25.240Z,237.2175,46.7386667,0.59,2
2006-05-09T20:34:10.480Z,237.2148333,46.755,0.589,2.5
2004-12-22T23:16:48.130Z,237.2473333,46.7035,0.582,2.2
2004-08-12T21:58:24.870Z,237.2226667,46.7466667,0.58,2
2003-02-04T21:57:12.210Z,237.2296667,46.698,0.578,2.8
2004-05-13T19:43:14.100Z,235.756,47.9195,0.577,3.1
2006-06-22T21:38:26.230Z,237.2486667,46.7165,0.575,2.3
2005-08-13T19:32:30.760Z,235.5226667,48.1016667,0.572,2.5
2024-10-01T21:41:14.420Z,237.3403333,46.3265,0.57,2.04
2005-01-27T20:50:40.880Z,237.2196667,46.7426667,0.568,2.1
2006-06-20T21:31:02.280Z,237.2321667,46.7023333,0.563,2.3
2004-06-10T21:43:15.830Z,237.2143333,46.7415,0.563,3
2003-12-05T23:20:55.350Z,237.2246667,46.75,0.563,3.1
2005-03-14T22:30:48.910Z,237.2406667,46.6906667,0.561,2
2006-10-09T21:27:37.550Z,237.2635,46.7451667,0.557,2.6
2006-03-07T22:58:55.700Z,237.2078333,46.7496667,0.555,2.3
2006-04-19T21:47:15.140Z,237.2331667,46.7021667,0.547,2.4
2019-03-30T01:04:09.680Z,235.844,47.82416667,0.54,2.08
2004-10-12T21:47:16.840Z,237.2223333,46.7506667,0.54,2.5
2003-12-09T23:27:05.380Z,237.2143333,46.7313333,0.534,3.2
2003-10-10T21:51:44.630Z,237.224,46.7458333,0.533,2.9
2004-04-01T22:34:10.010Z,237.2135,46.7396667,0.528,2.7
2004-07-07T23:02:21.370Z,237.2183333,46.747,0.525,2.3
2004-05-21T22:06:41.560Z,237.1991667,46.7508333,0.525,2.3
2005-09-06T21:41:34.080Z,237.214,46.7453333,0.523,3
2004-08-17T21:19:42.320Z,237.2106667,46.7448333,0.518,3
2005-07-07T21:30:54.260Z,237.2345,46.6995,0.513,2.7
2025-03-28T20:32:28.790Z,236.195,47.5895,0.51,2.5
2025-03-21T05:20:51.760Z,236.1908333,47.59066667,0.51,2.23
2004-08-18T21:48:19.070Z,237.2136667,46.7463333,0.51,2.6
2012-03-28T19:04:02.540Z,236.9621667,46.2158333,0.504,2.13
2006-08-25T21:29:23.610Z,237.2436667,46.7216667,0.503,2.7
2003-10-13T21:55:24.870Z,237.224,46.7476667,0.503,3.2
2003-04-30T21:34:35.640Z,237.2091667,46.707,0.498,2.7
2003-01-21T22:46:10.200Z,237.217,46.7445,0.496,3.2
2003-10-01T22:35:55.320Z,237.2146667,46.7405,0.495,2.5
2023-08-08T21:25:50.550Z,236.4755,48.05166667,0.49,2.05
2022-06-22T16:51:18.200Z,237.7288333,48.17666667,0.49,2.26
2006-02-17T22:42:38.370Z,237.1943333,46.7523333,0.489,2.4
2004-02-03T22:00:39.290Z,237.2153333,46.7423333,0.489,2
2014-10-31T04:47:00.530Z,235.7415,47.9221667,0.479,2.62
2006-09-18T22:45:45.480Z,237.2516667,46.7175,0.475,2.5
2004-04-14T17:28:56.360Z,237.2165,46.7388333,0.467,2
2004-02-24T22:48:48.540Z,237.213,46.7431667,0.459,2.3
2005-03-03T20:44:59.790Z,237.2546667,46.6965,0.458,2.3
2004-06-10T18:09:06.910Z,236.1641667,47.1875,0.458,2.3
2003-05-21T21:17:29.840Z,237.2291667,46.734,0.444,2.1
2004-07-15T22:09:29.490Z,237.232,46.7018333,0.443,2.5
2006-02-24T21:55:27.300Z,237.2185,46.7518333,0.439,2
2004-01-10T22:23:26.360Z,237.2448333,46.7081667,0.435,3
2003-06-30T21:21:32.690Z,237.2336667,46.7021667,0.431,2.2
2003-01-04T22:28:16.080Z,237.227,46.6976667,0.431,2
2003-07-11T20:52:09.500Z,237.2141667,46.7428333,0.426,2.3
2003-09-16T21:38:38.340Z,237.2221667,46.7411667,0.425,2.9
2006-05-22T20:12:50.510Z,237.2313333,46.7531667,0.418,2.4
2004-06-16T21:10:08.230Z,237.2225,46.7455,0.415,2.7
2014-01-11T15:24:51.430Z,235.7686667,47.913,0.409,2.24
2006-05-10T21:24:54.860Z,237.2105,46.748,0.4,2.3
2004-03-04T23:32:09.690Z,237.2046667,46.7206667,0.394,2.3
2004-08-13T21:52:55.690Z,237.2245,46.745,0.385,2.6
2004-02-17T23:36:17.480Z,237.2185,46.7396667,0.385,2.4
2005-08-25T21:38:02.880Z,237.2128333,46.7443333,0.383,2.9
2006-04-04T20:32:02.150Z,237.231,46.759,0.382,2.1
2024-05-21T23:05:30.640Z,237.77,46.88033333,0.38,2.02
2014-08-01T17:45:53.500Z,235.8425,46.58716667,0.38,2.1
2007-03-09T23:21:44.600Z,236.7118333,46.6963333,0.38,2.4
2003-10-23T22:02:54.880Z,237.215,46.7458333,0.38,2.9
2009-06-29T18:28:12.480Z,237.0708333,47.8045,0.374,2.06
2018-07-11T14:19:58.600Z,235.7566667,47.9056667,0.37,2.39
2004-08-02T21:44:42.700Z,237.2233333,46.7515,0.355,2.2
2003-12-30T22:35:21.070Z,237.2216667,46.743,0.35,2.7
2009-02-02T06:57:52.090Z,234.9588333,48.248,0.349,2.19
2011-12-06T21:25:26.270Z,236.5766667,46.6846667,0.346,2.03
2004-06-08T21:56:24.420Z,237.234,46.7111667,0.343,2.5
2006-05-08T21:15:41.860Z,237.2505,46.6988333,0.341,2.5
2017-04-28T19:09:53.180Z,237.3535,47.8741667,0.34,2.05
2017-01-20T08:20:05.100Z,236.2001667,47.2778333,0.33,2.58
2006-05-25T21:24:18.550Z,237.2506667,46.6948333,0.33,2.7
2006-04-29T21:18:19.160Z,237.2395,46.7021667,0.326,2
2024-01-17T04:44:16.780Z,235.0023333,48.31133333,0.32,2.05
2024-01-30T22:29:45.820Z,237.0333333,46.54766667,0.3,2
2021-08-04T22:38:14.570Z,237.0388333,46.521,0.3,2.31
2010-06-07T12:58:31.620Z,235.5601667,48.0858333,0.293,2.63
2023-10-06T23:21:16.910Z,235.7676667,47.907,0.29,2.31
2016-07-01T18:15:12.260Z,236.1035,46.4616667,0.29,2.16
2003-03-19T21:17:55.180Z,237.24,46.7015,0.286,2.4
2004-08-20T21:42:30.130Z,237.2128333,46.7451667,0.285,2.3
2019-05-15T22:17:23.210Z,236.9493333,46.21683333,0.28,2.07
2006-06-28T21:49:32.900Z,237.2431667,46.7156667,0.277,2.6
2003-06-20T22:08:53.340Z,237.2171667,46.7418333,0.275,2.8
