date_time,lon360,latitude,depth_km,magnitude
2022-01-15T04:14:45.000Z,184.61,-20.546,0,5.8
2019-03-13T08:44:15.671Z,184.5428,-22.287,-1,4.6
2004-04-03T13:29:32.290Z,185.94,-20.535,-2.2,5.8
2014-01-24T18:06:34.010Z,186.0454,-21.3381,-3.16,5
2007-03-05T16:54:14.890Z,184.065,-22.783,-3.7,4.6
2006-09-22T16:24:44.110Z,183.912,-22.582,-4.5,4.7
2014-10-03T18:28:24.930Z,185.802,-21.007,-4.9,5.3
2013-08-24T08:40:28.120Z,184.7583,-22.5179,-5,5.8
2014-05-04T15:24:24.840Z,184.2533,-23.3715,-5.42,4.8
2010-07-03T04:22:08.640Z,185.007,-21.7,-5.8,5
2014-02-17T05:27:36.640Z,185.0611,-22.38,-6,5.4
2011-10-08T08:53:11.960Z,186.778,-20.602,-6,5.9
2011-07-16T07:03:32.560Z,185.001,-22.434,-6,5.8
2013-03-08T20:43:22.680Z,186.169,-20.918,-6.5,5.3
2006-05-05T16:23:51.590Z,186.06,-20.309,-6.9,5.1
2017-12-11T10:50:00.920Z,186.2788,-20.8328,-7,5.7
2017-07-17T01:20:32.170Z,186.6256,-20.3736,-7,5.7
2006-05-04T17:22:52.750Z,185.936,-20.3,-7.2,4.9
2010-10-16T13:27:45.690Z,186.084,-20.46,-7.4,5.6
2009-06-05T19:33:15.280Z,184.925,-22.538,-7.5,4.6
2012-03-04T16:05:14.110Z,185.202,-22.309,-7.8,5.1
2015-08-20T11:45:04.840Z,186.7969,-20.7468,-7.9,4.6
2024-11-19T02:41:52.175Z,184.2475,-21.0456,-8,5.6
2012-02-04T07:40:12.800Z,185.965,-20.536,-8,5.8
2010-10-16T20:08:30.070Z,186.154,-20.414,-8,5.9
2004-04-24T07:44:11.300Z,185.178,-21.899,-8,6.1
2004-04-05T20:34:21.930Z,186.064,-20.436,-8,6.2
2012-05-05T20:23:31.160Z,185.773,-21.477,-8.5,5.7
2007-01-18T03:59:38.740Z,185.99,-20.743,-8.9,4.4
2013-08-16T08:29:00.450Z,185.7273,-23.2721,-8.91,4.4
2024-07-29T13:07:11.966Z,186.0194,-20.3812,-9,6
2013-06-15T19:30:51.280Z,185.11,-22.472,-9.2,4.8
2013-05-17T06:08:47.310Z,186.027,-20.89,-9.2,4.6
2012-06-12T19:10:13.870Z,186.094,-20.536,-9.2,4.9
2011-11-04T23:17:16.460Z,184.15,-22.477,-9.4,4.3
2006-05-04T04:55:38.740Z,185.734,-21.258,-9.4,5.4
2016-12-17T18:16:03.180Z,184.5701,-22.4375,-9.49,4.6
2006-05-03T17:00:09.700Z,186.019,-20.448,-9.6,4.7
2022-02-02T10:26:33.511Z,185.7294,-21.1035,-9.61,5.5
2022-10-15T11:45:57.367Z,184.4449,-20.4822,-9.8,4.3
2013-05-06T07:33:03.630Z,183.705,-21.375,-9.9,5.5
2010-11-26T01:41:20.510Z,185.665,-20.699,-9.9,4.7
2023-07-21T19:06:56.078Z,184.5739,-22.6794,-9.954,4.9
