date_time,lon360,latitude,depth_km,magnitude
2016-03-22T20:14:27.980Z,123.5825,8.6012,-1,4.4
2013-09-06T19:40:40.160Z,126.5241,10.4949,-2.38,4.6
2010-12-17T22:00:52.390Z,127.406,11.366,-2.4,4.4
2023-12-02T17:52:47.087Z,126.3206,6.6163,-2.716,4.6
2019-02-19T13:28:46.720Z,124.9897,6.8793,-4.31,4.4
2014-12-09T20:03:43.700Z,126.2367,7.1891,-4.32,4.3
2021-04-23T10:39:48.017Z,125.9671,8.3337,-4.52,4.6
2013-10-15T20:34:21.030Z,124.8132,10.3032,-4.88,4.2
2021-12-31T13:58:24.334Z,126.0283,9.0257,-5.16,4.4
2024-11-26T13:01:14.469Z,126.4594,10.0072,-5.267,4.5
2018-01-02T18:30:58.440Z,125.2315,9.2662,-5.31,4.5
2021-06-06T07:24:57.850Z,126.0554,10.1238,-5.53,4.3
2019-04-26T20:30:02.331Z,127.0261,9.4885,-5.56,4.8
2021-06-14T14:38:41.447Z,124.967,7.7102,-5.86,5.7
2019-12-15T15:34:39.666Z,125.3267,6.5247,-6.06,4.6
2024-11-27T08:59:03.951Z,126.6882,9.1414,-6.194,5
2012-02-04T19:29:15.000Z,125.719,11.937,-6.4,5.4
2013-01-30T13:25:34.240Z,127.027,10.356,-6.7,4.5
2013-10-15T08:36:20.900Z,124.261,9.8331,-6.74,5.6
2024-11-27T09:13:27.110Z,126.7555,9.1431,-6.812,4.2
2017-07-10T01:41:48.220Z,124.784,10.9893,-7.1,5.8
2023-03-29T22:37:45.459Z,126.1716,7.5039,-7.397,4.3
2020-07-23T19:55:15.669Z,126.5302,7.2718,-7.48,4.5
2019-04-28T05:59:16.460Z,126.5011,9.7537,-7.58,4.8
2023-12-08T22:03:55.833Z,126.6641,9.0745,-7.708,4.1
2014-11-10T04:41:14.950Z,126.7365,10.0314,-8,5.2
2009-01-29T22:43:45.110Z,124.964,10.973,-8,5.4
2024-07-06T16:58:09.635Z,126.9864,7.6849,-8.121,4.3
