date_time,lon360,latitude,depth_km,magnitude
2008-03-24T04:51:09.400Z,126.469,25.349,0,3.6
2008-04-02T16:22:26.070Z,126.559,24.298,-1,4.3
2010-02-28T02:51:41.590Z,128.484,25.954,-1.3,5
2008-09-19T10:01:43.870Z,128.172,28.3,-1.3,3.7
2008-07-13T07:45:39.080Z,127.739,24.674,-1.4,4.3
2005-05-04T08:05:28.690Z,126.644,24.297,-1.7,4.5
2007-10-18T15:09:12.580Z,126.286,24.166,-2.1,4.5
2005-10-16T06:28:16.430Z,129.574,26.484,-2.6,4.3
2022-05-10T17:39:50.687Z,126.4347,26.766,-2.61,4.5
2005-08-28T19:00:41.130Z,129.718,26.5,-2.8,3.5
2005-06-11T03:57:44.230Z,128.22,25.836,-3.3,4.5
2005-08-28T18:50:54.540Z,129.681,26.469,-3.4,4.1
2010-02-28T01:20:29.990Z,128.433,25.937,-3.5,5
2016-05-16T15:48:50.480Z,127.7239,24.5185,-3.68,4.4
2004-03-03T21:21:49.860Z,128.367,25.723,-4,4.9
2012-06-12T21:56:36.850Z,127.921,26.922,-4.1,4.3
2010-02-27T05:37:26.630Z,128.609,25.901,-4.1,4.4
2010-03-02T15:11:29.030Z,128.686,25.98,-4.2,4.2
2010-02-27T01:33:20.090Z,128.475,25.908,-4.2,4.5
2011-02-15T14:12:50.370Z,128.294,25.908,-4.3,5.1
2008-12-06T02:30:42.780Z,125.868,26.15,-4.5,3.9
2019-04-15T15:22:32.427Z,129.453,26.2283,-4.67,4.5
2022-11-16T11:31:55.941Z,127.9662,25.5883,-4.799,4.2
2015-05-22T13:28:45.570Z,129.5308,28.6085,-4.8,5.3
2014-08-14T17:09:46.780Z,128.1841,27.9639,-4.97,5.3
2014-12-31T12:45:38.450Z,127.8361,24.5055,-5.02,4.4
2010-06-27T03:09:50.900Z,129.241,25.991,-5.1,4.1
2010-02-27T17:25:26.030Z,128.425,25.841,-5.1,4.4
2007-04-12T20:31:56.010Z,125.616,24.023,-5.1,4.6
2007-02-17T02:06:32.390Z,127.483,25.548,-5.3,4
2016-06-14T15:01:56.850Z,130.1941,26.9601,-5.39,5.6
2016-06-08T01:54:26.870Z,130.1747,27.1615,-5.39,4.9
2013-06-27T18:28:10.690Z,128.531,25.84,-5.5,4.5
2021-07-04T23:04:16.842Z,127.9896,28.0164,-5.53,4.1
2018-07-24T14:07:44.020Z,128.5219,25.931,-5.68,4.5
2010-03-02T21:22:05.100Z,128.407,25.935,-5.8,4.4
2016-07-13T07:01:10.230Z,127.9866,24.6578,-5.92,4.8
2010-03-22T14:30:52.510Z,128.403,25.936,-6,4.3
2022-04-17T15:02:57.479Z,128.5682,25.9155,-6.03,4.5
2010-07-14T15:45:07.100Z,131.539,28.28,-6.1,4.3
2007-08-07T03:26:12.180Z,126.795,27.355,-6.2,3.4
2015-08-07T00:49:35.330Z,125.5907,23.5236,-6.21,4.3
2022-04-03T15:46:51.167Z,126.5133,26.8501,-6.33,4.6
2010-06-05T07:55:06.570Z,129.947,25.754,-6.4,4.6
2010-03-15T18:50:32.880Z,128.398,25.908,-6.4,4.1
2016-10-23T01:01:26.520Z,130.1769,26.9917,-6.51,4.3
2019-07-21T21:15:54.572Z,127.7345,26.8103,-6.52,4.4
2016-02-05T13:44:35.630Z,129.7078,26.1573,-6.6,4.3
2010-05-20T22:02:59.280Z,128.503,25.848,-6.7,4.2
2010-02-28T06:54:04.640Z,128.482,25.892,-6.7,4.3
2016-04-12T19:04:35.400Z,130.6676,28.8363,-6.75,4.9
2017-03-20T21:17:39.110Z,125.0777,23.5302,-6.86,4.3
2011-02-16T23:45:10.380Z,128.281,25.909,-6.9,5.2
2022-06-19T09:55:19.070Z,126.5426,26.7173,-7,5.5
2021-12-09T02:05:07.684Z,129.3846,29.4132,-7,6
2009-07-06T22:35:04.530Z,128.03,24.874,-7,5.7
2005-09-28T02:15:11.270Z,129.685,26.516,-7,3.9
2012-03-30T20:04:36.180Z,126.505,24.34,-7.1,4.9
2005-08-28T18:51:19.170Z,129.624,26.49,-7.2,4.7
2022-06-03T18:29:44.340Z,126.4911,26.7534,-7.25,4
2007-01-16T17:21:50.510Z,127.031,24.382,-7.5,4.3
2013-10-02T17:42:00.480Z,127.3285,24.1317,-7.53,4.3
2024-04-15T22:38:56.828Z,131.7622,29.4397,-7.556,5.9
2016-12-29T07:18:40.790Z,128.6373,26.1339,-7.57,4.6
2008-09-15T13:10:32.750Z,129.514,27.71,-7.7,3.7
2005-09-28T02:11:57.620Z,129.702,26.464,-7.7,4.1
2021-10-05T17:30:27.213Z,125.0222,25.7174,-7.89,5.4
2014-08-02T17:29:36.110Z,128.1164,27.8148,-7.9,4.5
2010-02-28T15:09:14.490Z,128.707,25.991,-7.9,4.3
2024-11-17T12:16:29.874Z,131.3968,29.0424,-8,6.1
2022-04-13T01:22:32.819Z,126.4128,26.8566,-8,5.6
2004-01-19T08:39:20.290Z,127.876,28.716,-8,4
2008-11-16T05:00:49.200Z,130.833,27.283,-8.1,4.7
2025-06-23T01:13:17.509Z,129.2927,29.3266,-8.12,4.5
2007-11-15T08:22:18.060Z,128.812,26.219,-8.2,3.5
2016-12-31T21:08:02.160Z,128.7113,26.058,-8.26,4.8
2012-06-30T03:22:32.400Z,129.935,26.731,-8.3,4.3
2022-09-17T11:54:17.508Z,125.8409,26.3652,-8.33,4.5
2012-02-28T20:55:07.950Z,127.152,25.545,-8.4,4.7
2012-01-21T05:50:02.840Z,128.308,25.902,-8.4,4.8
2009-07-26T21:59:32.390Z,128.17,25.918,-8.4,4.1
2006-06-17T19:07:57.110Z,130.086,27.509,-8.4,4.8
2006-04-28T04:18:42.220Z,127.376,28.095,-8.4,4.1
2022-10-02T14:45:57.000Z,126.4542,26.7989,-8.534,4.5
2017-01-20T19:36:45.970Z,128.6944,26.1133,-8.66,4.4
2018-03-22T03:23:18.730Z,125.7219,23.4113,-8.67,4.6
2012-01-21T08:03:58.090Z,128.342,25.856,-8.8,4.5
2023-05-01T03:22:10.458Z,128.4753,26.0161,-9,5.9
2022-03-17T11:33:37.138Z,126.3749,26.8146,-9,5.7
2010-06-02T02:52:09.570Z,128.541,25.946,-9,4.2
2009-09-28T19:22:57.140Z,127.821,27.927,-9,5.8
2007-04-20T01:45:56.110Z,125.108,25.71,-9,6.3
2013-11-03T12:59:34.930Z,128.4469,26.0088,-9.06,4.6
2018-09-15T00:08:21.430Z,129.6429,26.7302,-9.32,5.7
2020-09-13T15:57:43.321Z,129.0238,26.1193,-9.33,4.3
2025-06-30T21:49:48.341Z,129.5332,29.3301,-9.343,4.4
2010-08-21T10:51:21.440Z,126.735,24.062,-9.4,4
2010-06-14T02:57:20.970Z,128.828,26.394,-9.4,4
2022-07-16T23:46:38.231Z,126.3933,26.8211,-9.412,4.2
2010-12-11T03:17:40.500Z,128.468,25.944,-9.5,4.5
2023-10-16T13:30:48.196Z,125.5035,25.1128,-9.536,4.9
2007-12-06T14:40:31.530Z,128.218,25.428,-9.6,4.3
2022-09-17T10:17:53.126Z,125.8459,26.2775,-9.68,4.1
2024-12-25T11:06:22.918Z,127.8795,27.9713,-9.692,4.1
2013-07-09T10:39:21.320Z,127.809,24.692,-9.7,4.6
2012-12-30T07:41:01.670Z,127.418,25.429,-9.7,4.3
2004-12-27T08:48:08.480Z,128.75,25.511,-9.7,4.3
2010-11-24T00:19:11.580Z,128.416,25.955,-9.8,4.6
2009-03-08T05:45:56.490Z,130.2,28.2,-9.8,4.4
2017-03-30T16:29:13.380Z,126.876,24.7849,-9.87,4.6
2013-07-29T22:56:06.630Z,126.331,23.371,-9.9,4.7
2019-03-20T18:17:17.623Z,128.8089,25.6801,-9.91,4.6
2023-09-08T18:28:42.859Z,129.4082,29.2525,-9.932,4.2
2020-12-22T18:24:35.377Z,128.8618,29.4018,-9.94,4.9
2020-04-18T05:07:28.030Z,128.0289,27.3931,-9.94,4.2
2025-07-02T21:51:29.399Z,129.4546,29.3572,-9.968,4.7
2023-09-08T17:14:18.127Z,129.2717,29.3228,-9.985,4.2
2022-09-13T15:33:35.080Z,125.9199,26.4468,-10.043,4.4
2022-09-17T10:49:57.603Z,125.5148,26.0908,-10.063,4.3
2025-06-28T00:15:15.828Z,129.3552,29.3501,-10.064,4.5
2013-09-29T05:04:16.610Z,131.2927,28.7024,-10.07,4.6
2023-09-07T19:55:19.538Z,129.3671,29.2873,-10.08,4.2
2022-09-17T20:34:58.604Z,126.055,26.4078,-10.095,4.4
2011-11-07T20:03:06.980Z,128.477,25.936,-10.1,4.6
2022-09-18T08:24:17.770Z,125.9135,26.339,-10.136,4.5
2018-09-15T15:37:59.560Z,129.6387,26.6904,-10.15,5.2
2022-09-13T16:19:20.885Z,125.9049,26.33,-10.172,4.4
2022-09-17T10:54:02.437Z,125.9878,26.1265,-10.188,4.1
2018-09-15T16:24:34.810Z,129.5279,26.5742,-10.2,5.6
2014-08-05T17:41:54.690Z,128.0598,28.0108,-10.21,4.4
2016-03-10T11:43:40.270Z,128.2712,25.9999,-10.26,4.6
2022-09-17T12:23:01.695Z,125.7038,26.3632,-10.284,4.2
2022-04-19T05:12:50.426Z,128.5527,25.9458,-10.37,4.5
2013-01-25T17:46:18.100Z,132.19,29.38,-10.4,4.8
2011-11-08T01:21:14.210Z,128.312,25.885,-10.4,4.6
2016-01-28T19:30:08.910Z,125.9144,23.9438,-10.41,4.4
2022-09-18T13:07:23.157Z,125.714,26.2896,-10.489,4.5
2017-06-02T08:35:12.800Z,128.5956,26.2465,-10.52,4.4
2005-08-20T10:42:02.780Z,129.936,27.715,-10.6,4.3
2021-12-30T08:45:35.795Z,125.6668,25.268,-10.61,4.9
2022-10-02T13:25:30.160Z,126.5327,26.8034,-10.673,4.8
2010-05-26T16:19:08.420Z,130.128,25.768,-10.7,4.4
2016-11-16T14:47:19.880Z,130.5694,29.1591,-10.77,4.4
2010-02-28T11:57:32.140Z,128.575,25.996,-10.8,4
2023-09-10T05:28:32.873Z,129.306,29.3174,-10.838,4.8
2022-09-17T10:29:39.595Z,125.9736,26.3321,-10.889,4.1
2009-03-21T19:58:17.250Z,128.406,26.023,-10.9,4.5
2017-11-23T18:02:35.850Z,130.3582,27.1381,-11,5.5
2011-05-09T03:42:53.280Z,128.481,26.032,-11.1,4
2009-07-04T13:26:33.880Z,124.992,24.283,-11.1,4.2
2008-01-02T22:44:01.110Z,128.908,26.353,-11.1,4.4
2007-04-20T02:23:34.040Z,125.043,25.623,-11.1,6
2019-08-05T00:32:12.463Z,129.3515,27.2686,-11.11,4.6
2014-08-02T17:35:00.940Z,128.0595,28.0568,-11.2,4.9
2004-10-04T08:06:21.420Z,127.835,27.888,-11.3,4.6
2023-09-08T18:08:14.413Z,129.4376,29.2727,-11.359,5.1
2013-05-06T18:43:53.450Z,126.664,25.072,-11.4,4.1
2013-02-20T17:44:33.490Z,127.9,25.123,-11.4,4.6
2025-07-02T05:23:34.896Z,129.3672,29.0951,-11.431,4.4
2024-06-19T07:16:23.074Z,129.2657,29.2104,-11.478,4.4
2022-02-21T20:52:32.543Z,126.4361,26.8606,-11.49,5.6
2023-09-10T22:57:56.608Z,129.2749,29.3614,-11.495,4.4
2008-09-19T19:27:51.600Z,128.751,26.273,-11.5,4.4
2023-09-07T17:50:27.120Z,129.5325,29.1912,-11.548,4.3
2010-03-02T09:39:34.960Z,128.471,25.929,-11.6,4.3
2007-01-24T20:28:59.320Z,129.104,26.077,-11.6,4.4
2025-02-02T20:37:52.136Z,127.2617,26.8065,-11.63,4.4
2019-05-26T15:47:24.067Z,130.5556,28.8768,-11.68,4.8
2013-11-03T12:33:15.770Z,128.4653,26.0424,-11.77,4.3
2010-01-12T19:27:29.070Z,132.365,28.747,-11.9,4.1
2023-09-08T19:32:24.326Z,129.45,29.2975,-11.94,4.7
2021-11-10T15:45:13.652Z,126.4474,23.5935,-12,6.6
2017-07-26T10:32:57.430Z,130.1836,26.8975,-12,6
2012-04-15T04:06:36.420Z,127.053,24.986,-12,4.9
2017-09-02T21:26:30.480Z,128.3918,26.157,-12.07,4.3
2004-10-01T19:45:03.960Z,127.69,27.815,-12.1,4.2
2016-10-18T14:53:18.680Z,126.7721,24.8695,-12.13,4.3
2025-07-01T21:31:45.758Z,129.4924,29.3458,-12.131,4.6
2015-10-05T13:39:03.130Z,125.2385,24.2324,-12.17,4.5
2007-11-16T03:47:04.620Z,128.575,26.013,-12.2,4.3
2012-03-15T21:57:24.360Z,128.412,25.9,-12.4,4.2
2010-03-04T20:49:21.890Z,128.518,25.921,-12.4,4
2006-06-25T06:07:43.060Z,127.818,27.866,-12.4,4.6
2014-06-20T18:07:35.030Z,126.0345,23.9429,-12.46,4.4
2023-09-08T18:23:12.233Z,129.4354,29.1461,-12.489,4.4
2016-05-03T13:43:32.360Z,127.9072,26.8828,-12.54,4.4
2012-03-03T18:03:54.070Z,127.167,25.54,-12.6,4.6
2011-06-21T20:18:37.580Z,128.354,26.05,-12.6,4.8
2016-01-04T13:53:14.220Z,128.3266,25.9198,-12.61,4.9
2018-02-06T02:34:17.900Z,128.4904,26.0563,-12.7,4.6
2012-10-25T19:10:49.890Z,128.694,28.66,-12.8,4.7
2012-08-20T08:14:13.080Z,126.768,24.905,-12.8,4.4
