date_time,lon360,latitude,depth_km,magnitude
2005-05-22T15:25:14.820Z,335.552,-57.501,-1.9,4.3
2008-08-06T14:45:35.240Z,334.888,-58.674,-2,5
2004-02-01T13:49:48.710Z,334.921,-59.475,-2.5,4.9
2015-10-09T02:33:33.890Z,335.2468,-57.4121,-3.81,5
2014-05-13T14:53:16.330Z,335.1219,-56.8739,-4.01,4.7
2006-08-12T14:00:43.050Z,334.343,-56.32,-4.5,4.8
2004-09-24T09:19:50.660Z,334.492,-58.724,-5.5,4.3
2021-08-13T05:31:10.721Z,334.5958,-59.4486,-5.64,4.6
2021-08-12T19:03:36.485Z,335.1043,-59.2918,-5.64,4.8
2008-11-14T19:10:47.790Z,334.553,-56.447,-6,5
2021-08-12T19:42:07.774Z,335.0464,-56.5163,-6.26,4.8
2021-09-03T07:49:43.479Z,333.2466,-59.9254,-6.54,5.6
2021-08-12T19:37:17.426Z,334.7805,-56.9333,-6.72,5.2
2021-08-22T00:45:07.917Z,335.779,-60.1401,-7,6.6
2012-01-24T16:31:07.790Z,332.277,-56.336,-7.6,5.5
2008-08-22T17:38:59.920Z,334.954,-58.602,-7.6,5.3
2022-01-20T06:52:20.411Z,336.081,-58.8885,-8,5.9
2018-03-16T09:25:01.530Z,334.2279,-56.5116,-8,5.4
2016-09-22T16:07:27.170Z,332.5117,-59.4722,-8,5.5
2021-08-12T21:12:23.777Z,334.825,-58.4247,-8.92,5.1
2024-06-19T10:08:00.224Z,334.5485,-56.6485,-8.925,5.3
2025-05-08T07:07:07.838Z,332.3538,-56.2848,-8.952,4.4
2021-08-14T20:28:41.487Z,334.9476,-59.1065,-9.17,5.2
2023-10-21T12:44:18.321Z,332.662,-59.5217,-9.301,4.3
2013-09-21T06:43:10.350Z,333.6584,-60.0906,-9.31,5
2017-05-29T04:55:27.940Z,334.3836,-56.2846,-9.39,5
2024-02-24T20:08:02.830Z,333.3936,-59.5484,-9.52,4.3
2011-01-29T23:01:20.580Z,334.931,-56.983,-9.6,4.3
2010-06-26T01:15:10.330Z,336.583,-57.461,-9.6,4.6
2015-12-25T20:51:21.490Z,334.3792,-59.5138,-9.66,4.7
2021-08-25T21:26:34.667Z,334.6018,-57.1377,-9.7,5.3
2014-05-13T14:40:53.780Z,334.9406,-56.9375,-9.7,5.3
2004-03-04T12:42:51.000Z,334.346,-59.716,-9.7,4.7
2023-01-11T05:36:15.802Z,331.8267,-60.1415,-9.757,4.6
2005-06-10T13:08:12.920Z,334.793,-58.706,-9.8,4.7
2014-03-14T18:27:57.160Z,334.0241,-56.1932,-9.83,4.8
2013-12-28T15:26:53.890Z,334.8258,-58.4717,-9.92,4.6
2024-03-09T13:43:55.987Z,331.4929,-56.5306,-9.954,4.6
2023-11-29T22:23:28.002Z,332.6905,-59.5176,-10.182,4.6
2021-08-19T02:14:00.139Z,334.7176,-56.4823,-10.2,4.6
2021-12-04T10:06:05.226Z,330.7601,-59.7941,-10.22,4.7
2023-04-29T08:04:33.648Z,332.9205,-56.2996,-10.634,4.3
2007-07-15T12:09:48.590Z,333.896,-59.987,-10.7,5.2
2022-04-23T19:56:30.860Z,335.023,-58.144,-10.95,4.7
2022-09-06T08:32:40.507Z,334.2337,-56.5739,-11,5.9
2006-11-07T17:19:48.240Z,334.511,-56.135,-11,5.2
2006-08-04T05:13:39.230Z,334.405,-59.18,-11,3.8
2011-06-13T22:51:27.770Z,334.477,-56.35,-11.4,5.1
2005-08-06T08:21:21.570Z,335.173,-56.907,-11.4,4.4
2018-08-04T12:37:29.410Z,335.0935,-56.4778,-11.68,4.3
2004-10-15T01:58:25.290Z,334.99,-57.752,-11.9,3.9
2017-05-11T15:57:32.580Z,334.1318,-56.6107,-11.91,5.3
2021-08-14T21:57:15.154Z,334.1974,-56.5814,-12.13,5.1
2014-04-25T13:57:26.760Z,333.5127,-59.8481,-12.24,4.4
2009-11-03T11:30:06.510Z,335.065,-56.93,-12.4,5.4
2016-06-20T14:45:10.680Z,333.267,-60.0912,-12.63,4.5
2021-08-31T14:40:28.117Z,335.4536,-56.807,-12.79,4.4
2004-11-09T02:48:48.020Z,335.675,-57.207,-12.8,4.6
2015-12-15T17:08:25.110Z,334.1679,-56.3767,-12.88,5.1
2024-02-14T04:42:28.005Z,335.1362,-58.3009,-12.946,5.2
2021-08-17T10:23:21.358Z,333.3689,-59.8904,-12.95,4.8
2017-05-11T15:41:11.640Z,334.1562,-56.5845,-13,5.7
2013-07-26T21:32:59.990Z,336.159,-57.915,-13,6.3
2012-01-22T05:53:42.080Z,334.853,-56.759,-13,6
2014-07-04T22:55:50.310Z,334.8042,-58.8507,-13.15,4.7
2021-08-16T06:15:01.652Z,334.9157,-58.6387,-13.2,4.5
2016-08-13T05:11:55.050Z,333.1699,-56.1689,-13.34,4.5
2021-02-21T07:04:16.910Z,333.3717,-56.0537,-13.42,4.5
2004-02-09T23:10:41.270Z,335.426,-58.609,-13.6,4.8
2012-10-22T09:55:55.150Z,334.41,-56.301,-13.7,5.2
2021-08-12T21:46:50.146Z,334.8988,-56.9553,-13.72,4.9
2025-08-02T11:37:59.996Z,333.7939,-59.7937,-13.731,4.4
2021-09-06T09:54:19.043Z,334.8787,-58.7493,-13.83,4.5
2023-07-11T14:08:04.261Z,334.7634,-56.9541,-13.858,5.1
2011-08-27T08:00:07.100Z,334.938,-56.873,-13.9,4.9
2008-02-23T15:57:20.490Z,336.567,-57.335,-14,6.8
2022-09-06T09:04:52.077Z,334.2102,-56.4982,-14.209,5.3
2024-02-17T07:25:35.136Z,335.3424,-58.1329,-14.498,4.3
2021-08-31T14:24:25.369Z,334.8657,-57.0178,-14.76,5.6
2019-01-05T12:34:30.270Z,332.3214,-56.3976,-14.89,4.5
2021-08-29T23:16:50.585Z,334.8317,-59.3397,-14.95,4.7
2022-09-06T12:14:07.949Z,334.2386,-56.5257,-15,5.7
2018-11-15T20:02:22.920Z,334.454,-56.7065,-15,6.4
2017-05-10T23:23:36.830Z,334.2568,-56.414,-15,6.5
2021-08-12T23:14:50.899Z,334.8401,-58.7397,-15.01,4.7
2015-01-21T17:19:39.430Z,336.8675,-56.9661,-15.1,4.2
2005-04-22T04:58:28.610Z,334.459,-57.817,-15.1,4.2
2021-10-17T14:00:00.202Z,334.0123,-59.4991,-15.18,4.3
2021-08-13T15:39:27.819Z,336.4745,-56.7197,-15.19,4.8
2014-12-11T10:41:09.860Z,334.5605,-56.8316,-15.24,4.9
2021-08-13T07:04:35.966Z,335.2278,-58.7805,-15.26,5.1
