date_time,lon360,latitude,depth_km,magnitude
2006-07-22T03:21:12.800Z,108.551,-9.331,-5.9,4.9
2019-01-03T16:42:18.840Z,108.5031,-10.5994,-6.77,4.6
2013-11-14T11:45:43.660Z,110.4151,-8.0613,-6.93,4.1
2017-05-01T15:09:14.290Z,108.5368,-10.0952,-7.5,4.1
2006-07-18T19:13:40.180Z,108.693,-9.523,-7.8,5
2019-01-08T14:51:21.410Z,108.4888,-10.5465,-7.9,4.3
2019-05-18T01:51:29.831Z,108.5971,-9.5083,-8,5.6
2016-02-13T20:45:34.740Z,108.5707,-9.4645,-8.14,5.1
2014-02-27T00:36:14.510Z,108.634,-10.3873,-8.23,4.5
2006-07-19T22:09:23.500Z,108.537,-9.332,-8.4,5
2004-10-22T16:37:15.440Z,108.933,-10.321,-8.4,4.4
2023-06-19T13:43:59.649Z,112.502,-7.4994,-9.013,4.2
2013-08-08T10:45:58.200Z,110.9786,-8.6243,-9.45,5.3
2024-03-22T08:52:58.999Z,112.3646,-5.8754,-9.471,6.4
2006-07-20T20:41:03.660Z,108.676,-10.184,-9.5,4.7
2025-03-02T05:00:41.056Z,110.2262,-8.359,-9.525,4.2
2024-04-11T23:14:35.058Z,112.5136,-5.8185,-9.714,4.4
2015-06-25T03:35:28.110Z,111.7695,-7.4715,-9.77,4.3
2013-04-19T12:00:44.430Z,109.85,-7.295,-9.9,4.8
2013-12-08T19:55:55.570Z,109.4062,-10.18,-9.95,4.8
2023-12-15T14:24:33.224Z,108.8252,-7.1204,-9.999,4.2
2024-03-25T21:05:52.786Z,112.3823,-5.7905,-10.152,4.2
2023-12-15T18:42:56.410Z,108.8083,-7.0736,-10.175,4
2024-07-26T03:49:49.832Z,108.4546,-6.9311,-10.265,4.1
2012-03-19T02:19:36.950Z,110.404,-8.064,-10.3,3.7
2015-09-25T13:28:53.300Z,110.4263,-7.9909,-10.61,4.4
2006-07-20T05:14:51.070Z,108.514,-9.355,-11,4.8
2006-07-17T23:52:07.960Z,108.926,-9.483,-11,4.2
2024-07-07T07:35:24.077Z,109.7394,-6.8574,-11.081,4.5
2006-06-09T01:06:44.750Z,110.193,-7.989,-11.5,4.1
2022-12-21T21:18:27.016Z,108.4609,-7.0372,-11.692,4.2
2007-07-30T03:43:34.780Z,110.806,-9.505,-11.9,4.7
2024-04-01T10:26:27.337Z,112.6357,-5.7711,-11.954,4.1
2016-07-17T22:59:04.050Z,110.2483,-7.55,-12.01,4.4
2006-07-17T15:20:53.980Z,108.675,-9.383,-12.2,5.4
2014-04-28T07:27:33.490Z,110.2606,-9.2998,-12.26,4.4
2006-05-26T22:53:58.920Z,110.446,-7.961,-12.5,6.3
2006-07-24T01:38:56.160Z,108.726,-9.265,-12.7,4.6
2010-11-18T20:47:57.280Z,112.402,-8.942,-12.9,4.2
2006-07-18T04:18:23.280Z,108.779,-9.355,-13.5,5.6
2010-12-11T12:42:53.830Z,109.655,-9.861,-13.7,4.7
2017-04-29T14:30:04.080Z,111.7854,-9.6529,-14.29,4.9
2014-04-18T13:33:36.010Z,110.3444,-9.0559,-15.37,5.3
2012-12-24T04:38:31.260Z,110.232,-9.318,-15.5,4.9
2013-05-14T19:09:24.260Z,112.391,-10.558,-15.9,4.4
2010-01-28T04:01:18.210Z,108.788,-9.832,-16.1,5
2023-08-18T18:29:15.789Z,111.0824,-8.9583,-16.286,4.4
2010-07-26T04:54:58.310Z,112.172,-10.356,-17.2,4.8
2024-03-28T21:23:02.119Z,112.4798,-5.8844,-17.436,4.4
2009-07-31T14:56:16.480Z,108.744,-8.795,-17.5,5.4
2016-11-04T05:08:05.920Z,111.3486,-7.3687,-17.87,4.7
2023-06-07T17:04:55.412Z,110.7921,-8.8517,-18,5.6
2014-04-28T05:20:39.310Z,110.2745,-9.2582,-18.14,4.5
2006-07-23T06:53:31.260Z,108.676,-10.008,-18.3,5
2006-07-18T00:15:48.640Z,108.753,-9.301,-20,5.7
2005-09-25T17:02:04.070Z,112.032,-10.433,-20,4.4
2005-04-24T08:42:07.780Z,111.965,-9.58,-20,4.6
2024-03-13T18:23:04.619Z,112.2551,-9.67,-21.188,4.2
2006-07-25T14:01:26.350Z,108.464,-9.348,-21.5,5.1
2007-08-09T15:02:05.890Z,109.005,-7.928,-21.9,4.5
2010-08-21T11:41:38.330Z,110.449,-8.004,-22.3,4.7
2016-09-30T14:49:44.500Z,111.68,-9.8302,-22.77,4.4
2006-12-23T02:04:26.190Z,112.63,-8.452,-22.9,4.7
2009-09-07T16:12:22.560Z,110.628,-10.198,-23,6.2
2024-10-31T17:48:01.249Z,108.9052,-9.249,-24.387,4.7
2011-04-28T17:41:56.100Z,109.777,-8.883,-24.4,4.9
2018-01-10T13:13:01.600Z,109.1027,-8.6917,-24.68,4.4
2008-07-07T19:45:24.640Z,109.071,-8.964,-25,4.6
2007-01-19T02:44:23.420Z,109.672,-9.993,-25,5.8
2006-09-21T18:54:50.050Z,110.365,-9.05,-25,6
2004-07-01T13:53:32.080Z,111.018,-9.129,-25,4.5
2004-04-01T00:10:51.550Z,110.558,-9.897,-25,4.6
2015-06-16T03:06:36.340Z,108.9361,-10.1366,-25.08,4.3
2011-05-22T23:36:00.180Z,110.567,-8.891,-25.2,4.4
2007-08-31T19:15:08.640Z,108.963,-8.061,-25.6,3.8
2006-07-21T14:08:44.430Z,108.706,-9.978,-25.8,4.7
2006-07-25T01:43:56.930Z,108.473,-9.278,-26.1,4.7
2006-07-20T14:36:10.750Z,108.614,-9.513,-26.3,4.8
2006-07-17T20:13:19.750Z,108.547,-9.326,-26.7,5.1
2006-07-17T16:09:55.050Z,108.774,-9.369,-26.9,5.9
2022-12-24T20:57:17.440Z,109.5294,-9.2275,-27.214,4.7
2006-01-07T19:20:35.470Z,112.568,-9.703,-27.4,4.7
2022-06-01T04:21:54.024Z,111.7167,-9.6277,-27.48,4.3
2012-12-18T10:49:43.150Z,111.442,-8.986,-27.7,4.5
2008-03-31T13:51:21.140Z,111.91,-9.163,-27.9,5.1
2006-07-19T21:01:22.140Z,108.688,-10.026,-27.9,4.8
2011-05-17T00:14:57.650Z,112.585,-9.203,-28,5.7
2024-06-03T21:44:23.442Z,111.6747,-9.5111,-28.645,4.4
2015-11-12T14:01:40.730Z,109.1681,-5.827,-29.75,4.5
2016-09-30T21:00:44.980Z,111.6921,-9.7648,-29.95,4.7
2013-11-14T20:46:53.960Z,108.8504,-9.3428,-29.96,4.6
2007-08-18T10:57:30.330Z,108.615,-8.933,-30,4.6
2005-11-22T01:58:49.930Z,111.42,-8.745,-30,4.6
2005-11-14T16:40:21.980Z,109.383,-8.619,-30,4.3
2021-10-22T02:39:17.295Z,110.4274,-9.0639,-30.42,4.5
2011-05-31T11:12:28.950Z,108.582,-8.927,-31.4,4.5
2022-11-23T13:27:28.124Z,109.8346,-9.062,-31.975,4.7
2006-07-19T04:19:45.040Z,108.832,-9.378,-32.5,4.8
2015-04-05T18:20:26.590Z,110.5096,-9.7537,-32.57,4.5
2006-07-18T03:01:48.170Z,108.893,-9.258,-32.7,4.9
2006-07-17T11:40:07.350Z,108.66,-9.506,-33.2,5
2015-09-22T03:50:17.670Z,112.2797,-10.762,-33.24,4.2
2015-02-01T23:19:35.880Z,108.4509,-9.0748,-33.49,4.5
2006-07-17T23:38:48.310Z,108.433,-9.314,-33.5,4.5
2006-07-22T20:38:37.240Z,108.938,-9.42,-33.6,4.3
2006-07-17T11:28:48.140Z,108.573,-9.293,-33.8,5.3
2015-10-29T19:42:15.990Z,111.9521,-10.7451,-33.83,4
2016-09-28T02:55:09.230Z,111.7105,-9.7585,-33.97,4.3
2018-12-09T10:12:38.410Z,108.4494,-8.9958,-34,4.3
2010-06-04T16:47:27.770Z,112.427,-9.001,-34.1,4.8
2014-07-09T13:34:49.240Z,111.5563,-9.7572,-34.16,4.4
2005-09-30T14:37:09.520Z,111.852,-10.507,-34.3,4.7
2011-02-22T18:56:20.360Z,112.048,-9.403,-34.7,4.4
2006-07-29T09:16:53.530Z,108.691,-10.11,-34.7,5.1
2006-07-20T22:46:25.240Z,108.675,-10.027,-34.8,4.1
2020-09-04T06:07:39.136Z,108.8799,-9.1553,-34.83,4.8
2012-01-14T20:10:16.070Z,110.42,-10.148,-34.9,4.2
2006-07-18T19:11:13.290Z,108.622,-9.473,-34.9,5
2005-09-27T18:21:48.270Z,111.872,-10.52,-35.1,4.7
2011-07-09T13:26:58.940Z,108.454,-8.902,-35.2,4.8
2010-02-11T08:01:40.790Z,108.456,-9.03,-35.2,4.7
2010-01-11T08:41:01.630Z,112.191,-8.766,-35.2,4.2
2015-12-29T12:19:41.040Z,108.8631,-9.2315,-35.22,4.6
2013-10-24T08:20:55.770Z,111.1329,-9.6088,-35.22,4
2014-09-02T18:39:40.650Z,111.224,-10.1463,-35.57,4.5
2015-12-29T15:20:58.230Z,108.8429,-9.2394,-35.65,4.7
2009-08-22T04:35:26.950Z,110.279,-8.081,-36.4,4.2
2004-10-05T04:18:25.930Z,111.423,-9.975,-36.6,4
2016-10-08T09:10:33.280Z,111.6387,-9.9019,-36.83,4.6
2014-04-18T15:07:10.590Z,110.4197,-9.1005,-36.93,5
2022-07-17T09:13:03.363Z,110.8097,-9.2537,-37.06,5.1
2020-10-31T21:38:01.945Z,108.9762,-9.1872,-37.09,4.5
2015-05-10T16:17:48.360Z,109.4248,-10.0727,-37.27,4.2
2006-12-21T17:20:37.820Z,110.743,-8.902,-37.5,4.5
2018-05-15T09:16:09.440Z,109.1284,-8.776,-37.55,4.3
2017-05-29T15:33:01.100Z,112.1255,-9.2441,-37.7,4.2
2023-08-18T13:41:07.611Z,111.0328,-9.0068,-37.838,4.2
2010-08-08T05:36:31.060Z,108.719,-9.391,-37.9,4.3
2017-01-02T21:02:25.190Z,108.7974,-8.7459,-38.14,5.2
2003-04-26T20:36:18.190Z,108.646,-9.257,-38.4,4.5
2014-07-09T06:03:07.990Z,111.6233,-9.603,-38.5,4.7
2019-02-10T00:58:53.430Z,108.6164,-8.3657,-38.78,4.2
2005-04-24T09:32:21.680Z,111.887,-9.575,-39,4.8
2006-05-20T06:15:43.400Z,112.029,-9.988,-39.7,5
2022-11-13T15:10:21.938Z,108.8343,-8.9501,-39.775,5.2
2024-04-21T18:50:44.375Z,109.1143,-8.9064,-39.833,4.4
2011-08-09T07:47:48.840Z,109.271,-9.456,-39.9,4.4
2018-08-28T18:36:32.910Z,110.1451,-9.0219,-40,5.2
2005-09-28T00:43:57.030Z,111.979,-10.433,-40,4.6
2015-04-05T13:00:43.890Z,110.3196,-9.3061,-40.25,4.7
2017-05-01T10:43:20.840Z,111.836,-9.539,-40.31,4.8
2017-04-18T17:45:04.250Z,111.7592,-9.5726,-40.36,4
2017-07-17T09:05:53.800Z,111.8698,-9.7897,-40.39,4.7
2017-05-02T20:02:50.260Z,111.8514,-9.5045,-40.43,4.6
2005-04-24T10:06:12.690Z,111.861,-9.593,-40.9,4.8
2017-04-09T23:22:45.670Z,111.7819,-9.5742,-40.91,4.9
2016-02-09T04:17:19.070Z,110.7225,-9.2811,-41.02,4.2
2012-08-12T13:18:32.040Z,111.063,-10.41,-41.5,4.7
2024-04-19T20:38:21.790Z,110.312,-9.2093,-41.513,4.4
2015-10-04T16:40:16.680Z,110.3619,-9.1985,-41.64,4.7
2021-02-08T01:12:28.584Z,111.3583,-9.286,-41.73,4.8
2006-01-24T04:47:41.590Z,110.516,-10.156,-41.9,4.7
2018-12-09T12:23:44.270Z,108.4533,-8.9807,-42.15,4.5
2014-08-27T12:58:26.450Z,111.8333,-9.4813,-42.49,4.4
2017-04-10T12:05:47.810Z,111.7197,-9.6374,-42.54,4.3
2024-02-29T19:12:54.130Z,110.0442,-9.1468,-42.545,4.1
2022-11-23T15:02:24.713Z,109.9062,-9.0773,-42.957,4.4
2016-12-10T05:28:33.940Z,111.7684,-8.3852,-43.3,4.2
2014-06-27T01:22:21.330Z,112.1615,-9.9473,-43.38,4.1
2011-05-31T07:59:44.800Z,108.903,-9.136,-43.4,4.7
2007-10-20T23:40:38.190Z,111.484,-8.606,-43.4,4.8
2023-12-02T05:37:25.371Z,112.511,-9.7881,-43.519,5.2
2018-11-25T16:32:15.180Z,110.0981,-9.0478,-43.56,4.3
2014-07-10T16:49:17.730Z,111.536,-9.753,-43.85,4.1
2018-05-22T19:38:25.550Z,110.6118,-9.1607,-43.89,4.5
2019-05-04T00:54:48.937Z,108.885,-8.5249,-44,4.3
2003-04-11T09:00:08.430Z,109.536,-9.409,-45,4.5
2011-05-28T20:28:55.840Z,108.754,-8.756,-45.3,5.1
2023-03-06T01:50:08.773Z,112.4379,-9.3706,-45.416,4.8
2022-12-27T07:24:15.072Z,109.6002,-9.1497,-45.482,4.2
2016-09-18T21:50:32.450Z,111.8051,-9.5047,-45.78,4.6
2005-07-19T12:21:13.200Z,111.068,-8.559,-46,4.8
2021-01-07T14:44:06.871Z,110.2323,-8.781,-46.01,4.2
2017-04-21T03:38:51.320Z,111.8268,-9.4376,-46.3,4.3
2014-10-03T04:57:28.570Z,110.3486,-9.1953,-46.44,4.4
2024-09-13T07:12:51.252Z,110.3448,-9.298,-46.533,4.3
2024-09-13T17:19:50.897Z,110.289,-9.201,-46.56,4.6
2015-04-06T10:48:30.920Z,110.3879,-9.3692,-46.78,4.1
2014-04-29T13:04:47.110Z,109.1353,-8.4215,-46.78,4.6
