date_time,lon360,latitude,depth_km,magnitude
2011-01-20T21:02:51.220Z,168.002,-19.309,-1.5,4.3
2015-05-15T01:06:51.290Z,168.1941,-19.0271,-3.86,4.1
2011-01-06T16:17:52.610Z,168.327,-19.497,-4.3,5.2
2012-03-01T00:59:59.990Z,167.45,-17.893,-5.4,5.1
2006-12-23T03:32:48.090Z,168.108,-17.781,-5.6,4.9
2017-07-21T08:59:06.590Z,169.1726,-18.0537,-6.27,5.5
2025-07-23T14:44:43.442Z,168.1647,-17.8948,-7.066,4.3
2011-11-25T06:25:48.600Z,168.361,-17.89,-7.3,4.7
2022-12-01T18:31:06.545Z,169.5341,-18.6779,-7.897,4.5
2012-02-05T16:40:39.160Z,167.226,-17.948,-8,6.1
2015-01-16T07:13:16.360Z,167.624,-17.8523,-8.3,5
2016-08-24T13:06:49.590Z,167.5276,-18.4165,-8.78,4.9
2024-08-02T05:25:08.598Z,169.7063,-19.1424,-9.602,4.3
2019-07-02T16:02:07.499Z,166.9193,-17.9106,-9.69,4.8
2015-01-14T08:33:41.050Z,168.1864,-18.3674,-9.77,4.5
2013-05-29T08:02:53.640Z,167.878,-17.859,-9.8,4.2
2022-12-01T18:01:15.619Z,169.3062,-18.5849,-9.986,4.4
2013-11-29T05:31:08.520Z,169.2881,-19.43,-9.99,4.4
2022-12-01T17:28:30.339Z,169.4277,-18.6562,-10.012,4.5
2010-12-25T23:47:03.370Z,167.969,-19.4,-10.3,4.2
2010-12-28T21:43:50.150Z,168.014,-19.385,-10.4,5.2
2024-01-23T15:26:29.426Z,168.1974,-17.9343,-10.435,5.1
2012-04-14T22:05:26.430Z,168.741,-18.972,-11,6.2
2015-05-28T03:55:37.370Z,167.8839,-17.9596,-11.16,4.4
2010-06-09T23:23:17.350Z,169.485,-18.597,-12,6
2023-03-09T18:35:23.050Z,169.653,-19.3662,-12.67,4.5
2010-08-12T15:49:28.560Z,167.761,-18.037,-12.9,4.6
2021-02-16T00:49:25.141Z,167.5413,-17.8292,-13,6.2
2011-08-24T23:06:17.090Z,167.727,-18.155,-13,6.2
2010-12-26T02:13:37.680Z,168.284,-19.616,-13,6
2019-10-22T14:03:51.173Z,169.8118,-19.6623,-13.14,4.6
2023-06-03T01:42:58.050Z,168.3253,-18.3138,-13.214,4.5
2012-01-30T17:25:09.580Z,167.915,-19.344,-13.5,4.4
2017-06-14T00:25:37.230Z,168.728,-18.3246,-13.6,5.8
2009-06-03T01:43:26.330Z,167.676,-17.948,-13.6,4.6
2021-02-18T06:37:30.717Z,168.0675,-18.9515,-14,6.2
